split,pinball_q05,pinball_q50,pinball_q95,coverage_90,sharpness_bp,rmse_q50_bp,mae_q50_bp,dir_acc_q50,seed,n_epochs,best_val_pinball
train,0.36094042658805847,1.2021509408950806,0.33476370573043823,0.9306656101426307,10.871068954467773,3.3473594188690186,2.404301881790161,0.6233601354210749,42,46,1.4999473265239172
val,0.8692881464958191,2.7431066036224365,0.9055055975914001,0.7268292682926829,15.899805068969727,7.131992340087891,5.486213207244873,0.6274509803921569,42,46,1.4999473265239172
test,0.43806302547454834,1.5524324178695679,0.43479713797569275,0.9151785714285714,13.106111526489258,4.166284561157227,3.1048648357391357,0.6334841628959276,42,46,1.4999473265239172
train,0.3458361327648163,1.1920498609542847,0.32485300302505493,0.9215530903328051,10.551517486572266,3.335130453109741,2.3840997219085693,0.6203977994075328,123,51,1.5050439493996757
val,0.9669506549835205,2.7708382606506348,0.805260181427002,0.7317073170731707,16.6321964263916,7.226111888885498,5.5416765213012695,0.5784313725490197,123,51,1.5050439493996757
test,0.4450019299983978,1.58417546749115,0.47041136026382446,0.9181547619047619,13.92567253112793,4.33390474319458,3.1683509349823,0.6259426847662142,123,51,1.5050439493996757
train,0.3602689802646637,1.197998285293579,0.3280715048313141,0.9235340729001584,10.822259902954102,3.3442909717559814,2.395996570587158,0.6280152348709268,2024,45,1.5084871053695679
val,0.8535985946655273,2.7713239192962646,0.9114195108413696,0.7463414634146341,16.03178596496582,7.177801132202148,5.542647838592529,0.6029411764705882,2024,45,1.5084871053695679
test,0.4500313401222229,1.566164255142212,0.44361332058906555,0.9092261904761905,13.181640625,4.206236362457275,3.132328510284424,0.6334841628959276,2024,45,1.5084871053695679
