split,pinball_q05,pinball_q50,pinball_q95,coverage_90,sharpness_bp,rmse_q50_bp,mae_q50_bp,dir_acc_q50,seed,model
train,0.35520440340042114,1.194672703742981,0.33115118741989136,0.909270998415214,10.148649215698242,3.327472686767578,2.389345407485962,0.6233601354210749,42,A3'_+Δkr_ppi
val,0.8266944885253906,2.7421135902404785,0.93389892578125,0.7317073170731707,15.677112579345703,7.121963977813721,5.484227180480957,0.6029411764705882,42,A3'_+Δkr_ppi
test,0.43011900782585144,1.5463590621948242,0.43244463205337524,0.8869047619047619,12.029685974121094,4.1571879386901855,3.0927181243896484,0.6349924585218703,42,A3'_+Δkr_ppi
train,0.3532479405403137,1.1883668899536133,0.3288783133029938,0.9211568938193344,10.494250297546387,3.32119083404541,2.3767337799072266,0.6322471434617012,123,A3'_+Δkr_ppi
val,0.8696337342262268,2.748471975326538,0.9105257987976074,0.7268292682926829,15.720972061157227,7.141416549682617,5.496943950653076,0.6127450980392157,123,A3'_+Δkr_ppi
test,0.44284430146217346,1.5532875061035156,0.43814176321029663,0.9047619047619048,12.79467487335205,4.175548553466797,3.1065750122070312,0.6334841628959276,123,A3'_+Δkr_ppi
train,0.360785573720932,1.195378303527832,0.32741814851760864,0.9270998415213946,10.841827392578125,3.3312838077545166,2.390756607055664,0.6203977994075328,2024,A3'_+Δkr_ppi
val,0.8330524563789368,2.729992389678955,0.8832025527954102,0.7609756097560976,16.34218978881836,7.119126319885254,5.45998477935791,0.6225490196078431,2024,A3'_+Δkr_ppi
test,0.4481945037841797,1.5682543516159058,0.43773016333580017,0.9122023809523809,13.270408630371094,4.208003997802734,3.1365087032318115,0.6138763197586727,2024,A3'_+Δkr_ppi
