CL,항목,상태,비고
CL-01,월별 변수 발표일 시프트,✅,freeze 9 에 월별 변수 없음 → 본 노트북 범위 N/A
CL-02,Scaler train-only fit,❌,"2건 — train 외 데이터로 fit 의심: ('notebooks/02b_preprocess_baseline.ipynb', 336)"
CL-03,Lag/Rolling 현재시점 미포함,❌,"2건 — rolling 후 shift 누락: ('notebooks/06_shap_error_analysis.ipynb', 439)"
CL-04,TimeSeriesSplit 만 사용,❌,"8건 — 금지된 CV 사용: ('notebooks/04_lstm_quantile.ipynb', 327)"
CL-05,정책 변수 t-1 강제,❌,정책 변수 shift(1) 미적용
CL-06,Backward fill 금지,❌,"2건 — backward fill 사용: ('scripts/04_leakage_audit.py', 274)"
CL-07,한국 휴장일 타겟 drop,✅,타겟 결측행 30건 drop 완료
