feature,shap_crisis,shap_normal,diff_crisis_normal,ratio_crisis_normal
kr_treasury_3y,0.016574741264466595,0.010157657037134012,0.006417084227332583,1.631748463634205
us_treasury_10y,0.056444027015379504,0.05323713637043389,0.0032068906449456147,1.0602378501847183
us_breakeven_10y,0.006623894103377742,0.005716827094443193,0.0009070670089345494,1.158666161132672
us_fed_funds,0.0002847679709119083,0.00018919686006367087,9.55711108482374e-05,1.5051411044352143
kr_base_rate,3.422615399965515e-05,0.00011872712542990064,-8.450097143024548e-05,0.28827577418155464
dxy,0.005084474502684623,0.0054245921984745794,-0.00034011769578995606,0.9373007807138758
vix,0.010130415277662497,0.012891584769857876,-0.002761169492195379,0.7858161318807494
sp500,0.008555782289479723,0.011721597947378981,-0.0031658156578992583,0.729916034305958
