split,pinball_q05,pinball_q50,pinball_q95,coverage_90,sharpness_bp,rmse_q50_bp,mae_q50_bp,dir_acc_q50,seed,model
train,0.3574844300746918,1.1868284940719604,0.33370241522789,0.9164025356576863,10.270633697509766,3.321538209915161,2.373656988143921,0.6335167160389336,42,A2'_+Δkospi
val,0.8823646306991577,2.742673397064209,0.9372952580451965,0.7219512195121951,15.183574676513672,7.116880416870117,5.485346794128418,0.5980392156862745,42,A2'_+Δkospi
test,0.4223279058933258,1.561814785003662,0.4317091405391693,0.9002976190476191,12.317118644714355,4.184837818145752,3.123629570007324,0.6274509803921569,42,A2'_+Δkospi
train,0.3527781367301941,1.1902326345443726,0.3453172445297241,0.9362123613312203,11.061827659606934,3.332416296005249,2.380465269088745,0.630131189166314,123,A2'_+Δkospi
val,0.837033748626709,2.7381739616394043,0.885218620300293,0.7365853658536585,16.064558029174805,7.097290515899658,5.476347923278809,0.6078431372549019,123,A2'_+Δkospi
test,0.423667848110199,1.556627869606018,0.43761521577835083,0.9166666666666666,12.815601348876953,4.182866096496582,3.113255739212036,0.6319758672699849,123,A2'_+Δkospi
train,0.34406203031539917,1.1496628522872925,0.31787824630737305,0.9318541996830428,10.765352249145508,3.250795364379883,2.299325704574585,0.6677951756242065,2024,A2'_+Δkospi
val,0.8274961709976196,2.7270774841308594,0.9212642908096313,0.7707317073170732,16.894132614135742,7.129268169403076,5.454154968261719,0.6078431372549019,2024,A2'_+Δkospi
test,0.4498301148414612,1.5852323770523071,0.45394015312194824,0.8943452380952381,13.350932121276855,4.230985641479492,3.1704647541046143,0.6304675716440422,2024,A2'_+Δkospi
