model,split,RMSE_bp,MAE_bp,Dir_Acc
Naive,train,3.606219873815246,2.5708186447316894,
Naive,cal,3.5019982291027314,2.6306722689075634,
Naive,val,7.100571783886113,5.482905982905981,
Naive,test,4.646562394151071,3.476890156918688,
"ARIMA(1,0,1)",train,3.60329189393539,2.578765395628427,0.5146443514644351
"ARIMA(1,0,1)",cal,3.517385698179755,2.6428785807423423,0.47257383966244726
"ARIMA(1,0,1)",val,7.11390010735548,5.499745787135008,0.43103448275862066
"ARIMA(1,0,1)",test,4.650974217300135,3.483217049946412,0.49710982658959535
