split,pinball_q05,pinball_q50,pinball_q95,coverage_90,sharpness_bp,rmse_q50_bp,mae_q50_bp,dir_acc_q50,model
train,0.4009114852439084,1.0013254847835542,0.34400070869170896,0.9169604386995691,11.054567337036133,3.0863673019815696,2.0026509695671084,0.9167364016736401,XGBoost(q)
cal,0.3798612851054732,1.3133463310041344,0.40238948178892414,0.9201680672268907,11.195381164550781,3.506505233849417,2.626692662008269,0.5147679324894515,XGBoost(q)
val,1.0117893801387547,2.6982617957167254,1.20324843086748,0.6282051282051282,11.99021053314209,6.9860776849327575,5.396523591433451,0.5387931034482759,XGBoost(q)
test,0.5209693274314322,1.714355628625005,0.5287192302899764,0.8601997146932953,12.70393180847168,4.567930910012712,3.42871125725001,0.5578034682080925,XGBoost(q)
