score,fold1,fold2,fold3,vars
0.6117445982588283,0.572,0.597,0.666,us_breakeven_10y+vix+sp500+delta_us10y_t1+crisis_dummy
0.6115632421664717,0.602,0.588,0.645,kr_base_rate+us_fed_funds+us_breakeven_10y+vix+delta_us10y_t1
0.6115482190998848,0.568,0.595,0.672,kr_treasury_3y+us_breakeven_10y+spread_10y_t1+delta_us10y_t1+delta_dxy_t1
0.611343240410357,0.597,0.591,0.646,kr_treasury_3y+vix+dxy+delta_us10y_t1+delta_dxy_t1
0.61130666629344,0.585,0.571,0.678,kr_treasury_3y+us_breakeven_10y+sp500+spread_10y_t1+delta_us10y_t1
0.6112156574960855,0.572,0.606,0.656,kr_base_rate+us_treasury_10y+vix+dxy+delta_us10y_t1
0.6111433796600839,0.606,0.571,0.656,kr_treasury_3y+us_breakeven_10y+vix+sp500+delta_us10y_t1
0.6108705795714565,0.593,0.595,0.645,kr_base_rate+dxy+spread_10y_t1+delta_us10y_t1+delta_dxy_t1
0.6105014438507402,0.585,0.586,0.66,kr_treasury_3y+us_treasury_10y+vix+delta_us10y_t1+crisis_dummy
0.610383330864885,0.585,0.608,0.639,kr_base_rate+vix+sp500+delta_us10y_t1+delta_vix_t1
0.6103034283438719,0.589,0.616,0.626,kr_treasury_3y+us_treasury_10y+us_breakeven_10y+vix+delta_us10y_t1
0.6100322646031694,0.568,0.608,0.655,sp500+dxy+spread_10y_t1+delta_us10y_t1+delta_dxy_t1
0.6099815378174976,0.581,0.599,0.65,sp500+spread_10y_t1+delta_us10y_t1+delta_vix_t1+crisis_dummy
0.6098745311079837,0.597,0.595,0.637,kr_base_rate+us_fed_funds+spread_10y_t1+delta_us10y_t1+delta_vix_t1
0.6098212975765548,0.559,0.614,0.656,vix+sp500+dxy+delta_us10y_t1+delta_vix_t1
0.6095672284492805,0.593,0.569,0.666,kr_treasury_3y+us_fed_funds+vix+delta_us10y_t1+crisis_dummy
0.6094852543814261,0.576,0.608,0.645,kr_treasury_3y+us_breakeven_10y+dxy+spread_10y_t1+delta_us10y_t1
0.6092999814988237,0.589,0.58,0.659,kr_base_rate+us_breakeven_10y+sp500+spread_10y_t1+delta_us10y_t1
0.6092562178958111,0.576,0.606,0.646,kr_treasury_3y+kr_base_rate+dxy+delta_us10y_t1+crisis_dummy
0.6092527363044816,0.589,0.588,0.65,kr_treasury_3y+us_fed_funds+vix+spread_10y_t1+delta_us10y_t1
0.6091783869216388,0.602,0.584,0.642,us_fed_funds+vix+sp500+dxy+delta_us10y_t1
0.6091603174626385,0.61,0.576,0.642,kr_treasury_3y+us_fed_funds+dxy+delta_us10y_t1+delta_dxy_t1
0.6090091119511959,0.585,0.595,0.647,kr_treasury_3y+us_fed_funds+us_breakeven_10y+delta_us10y_t1+delta_dxy_t1
0.6089764546245247,0.589,0.595,0.643,kr_treasury_3y+vix+delta_us10y_t1+delta_vix_t1+crisis_dummy
0.6086765503473966,0.589,0.606,0.632,kr_treasury_3y+sp500+spread_10y_t1+delta_us10y_t1+delta_dxy_t1
0.6085364511122954,0.581,0.599,0.646,us_fed_funds+spread_10y_t1+delta_us10y_t1+delta_vix_t1+crisis_dummy
0.6084475138617819,0.589,0.603,0.633,kr_treasury_3y+us_fed_funds+sp500+dxy+delta_us10y_t1
0.608252771050763,0.576,0.569,0.679,kr_treasury_3y+us_breakeven_10y+sp500+delta_us10y_t1+delta_dxy_t1
0.6082240305143376,0.597,0.588,0.639,kr_treasury_3y+kr_base_rate+us_breakeven_10y+vix+delta_us10y_t1
0.6082166321327622,0.593,0.552,0.679,kr_treasury_3y+sp500+delta_us10y_t1+delta_dxy_t1+crisis_dummy
0.6081767853199954,0.597,0.597,0.63,kr_base_rate+spread_10y_t1+delta_us10y_t1+delta_dxy_t1+crisis_dummy
0.6079567835638807,0.593,0.599,0.632,kr_treasury_3y+kr_base_rate+vix+delta_us10y_t1+delta_dxy_t1
0.6079202094469638,0.581,0.58,0.663,kr_treasury_3y+kr_base_rate+us_fed_funds+dxy+delta_us10y_t1
0.6079005036400386,0.597,0.603,0.623,kr_treasury_3y+us_treasury_10y+dxy+spread_10y_t1+delta_us10y_t1
0.6077638859962669,0.576,0.614,0.633,kr_base_rate+sp500+dxy+spread_10y_t1+delta_us10y_t1
0.6076856198231783,0.572,0.591,0.66,kr_treasury_3y+kr_base_rate+us_breakeven_10y+delta_us10y_t1+delta_dxy_t1
0.6075640252459936,0.585,0.595,0.643,kr_base_rate+spread_10y_t1+delta_us10y_t1+delta_vix_t1+crisis_dummy
0.6075494373783227,0.581,0.603,0.639,us_breakeven_10y+sp500+delta_us10y_t1+delta_vix_t1+crisis_dummy
0.6073801624078797,0.564,0.614,0.645,vix+dxy+spread_10y_t1+delta_us10y_t1+delta_vix_t1
0.6072400631727783,0.555,0.608,0.659,kr_base_rate+vix+dxy+delta_us10y_t1+crisis_dummy
0.6071386096014351,0.581,0.591,0.65,us_breakeven_10y+dxy+delta_us10y_t1+delta_vix_t1+crisis_dummy
0.6067458512835479,0.572,0.586,0.662,us_fed_funds+sp500+spread_10y_t1+delta_us10y_t1+delta_vix_t1
0.6066423261653634,0.576,0.599,0.645,kr_base_rate+us_fed_funds+vix+delta_us10y_t1+delta_vix_t1
0.6065112616597623,0.564,0.597,0.659,kr_treasury_3y+sp500+spread_10y_t1+delta_us10y_t1+delta_vix_t1
0.6064911206539209,0.551,0.618,0.65,vix+sp500+spread_10y_t1+delta_us10y_t1+delta_vix_t1
0.6064223244092489,0.572,0.601,0.646,us_breakeven_10y+spread_10y_t1+delta_us10y_t1+delta_vix_t1+crisis_dummy
0.606409808088419,0.589,0.58,0.65,kr_treasury_3y+us_treasury_10y+us_breakeven_10y+delta_us10y_t1+delta_dxy_t1
0.6062590377758926,0.593,0.601,0.624,kr_treasury_3y+sp500+spread_10y_t1+delta_us10y_t1+crisis_dummy
0.6062460862561466,0.581,0.578,0.66,kr_treasury_3y+kr_base_rate+us_fed_funds+delta_us10y_t1+delta_vix_t1
0.6061370079997918,0.576,0.603,0.639,kr_base_rate+vix+sp500+delta_us10y_t1+crisis_dummy
0.6060969522915451,0.576,0.567,0.675,us_breakeven_10y+vix+sp500+delta_us10y_t1+delta_dxy_t1
0.6060827996227904,0.602,0.578,0.639,kr_treasury_3y+kr_base_rate+us_fed_funds+sp500+delta_us10y_t1
0.6057317333610747,0.585,0.578,0.655,kr_treasury_3y+us_fed_funds+us_breakeven_10y+delta_us10y_t1+delta_vix_t1
0.6056699002990618,0.581,0.595,0.642,kr_treasury_3y+sp500+dxy+spread_10y_t1+delta_us10y_t1
