h,fold1,fold2,fold3,mean,pooled,pool_n
1,0.6101694915254238,0.5906183368869936,0.6401734104046243,0.6136537462723473,0.6184681460272011,1397
2,0.5512820512820513,0.5936170212765958,0.5657142857142857,0.5702044527576443,0.5726495726495726,1404
3,0.48523206751054854,0.4470338983050847,0.530758226037196,0.48767473061760974,0.4950284090909091,1408
5,0.4810126582278481,0.423728813559322,0.49784791965566716,0.46752979714761245,0.4701280227596017,1406
10,0.569620253164557,0.4025423728813559,0.4797687861271676,0.4839771373910268,0.4689507494646681,1401
