변수,n_포함,포함평균,미포함평균,Δ
delta_us10y_t1,2288,0.5845704850061071,0.5017955517524203,0.08277493325368679
delta_dxy_t1,2328,0.5397180533734492,0.539748053070243,-2.9999696793736597e-05
spread_10y_t1,2345,0.5395770545854799,0.5398731577746758,-0.0002961031891959287
kospi,2285,0.5394467866966871,0.5399765548690755,-0.0005297681723883674
kr_industrial_prod,2289,0.5393596568954072,0.5400511235660119,-0.0006914666706047123
us_breakeven_10y,2297,0.5392304508354471,0.5401633009512041,-0.0009328501157570557
wti_oil,2283,0.5389934144641739,0.5403582415691428,-0.0013648271049688798
crisis_dummy,2333,0.5389451281278281,0.5404262721738603,-0.0014811440460321679
vix,2321,0.5388574168719762,0.540495835669285,-0.0016384187973088604
delta_vix_t1,2298,0.5388291579733606,0.5405059527133387,-0.0016767947399780603
kr_cpi_core,2250,0.5387773741730276,0.5405190918100674,-0.0017417176370397858
sp500,2330,0.5386568495040547,0.5406769279819946,-0.002020078477939946
kr_treasury_3y,2319,0.5385241524286893,0.5407837381782216,-0.0022595857495322225
us_cpi,2337,0.5384657491228831,0.5408504655112389,-0.002384716388355801
krw_usd,2281,0.5384208789688208,0.5408389585778814,-0.002418079609060597
kr_mfg_bsi_outlook,2313,0.538206333735932,0.5410530764095957,-0.0028467426736636936
us_credit_spread,2327,0.5381700328214677,0.5410997280513928,-0.0029296952299251444
kr_cd_91d,2324,0.5379200111528731,0.5413142187830735,-0.0033942076302003743
kr_base_rate,2317,0.5376394989713014,0.5415483074826214,-0.003908808511320028
kr_ppi,2302,0.5376092813578014,0.5415523702404678,-0.003943088882666368
us_fed_funds,2362,0.5375839712068439,0.5416650576585368,-0.004081086451692917
kr_cpi,2361,0.5372954013871452,0.5419224625455977,-0.004627061158452572
kr_treasury_1y,2304,0.537045349516197,0.5420386742363092,-0.004993324720112269
dxy,2336,0.5369074449773706,0.5422201243092543,-0.0053126793318836185
us_treasury_10y,2358,0.5366227786567721,0.5425193354441338,-0.005896556787361673
kr_corp_aa3y,2360,0.5366119346868641,0.5425335394268685,-0.005921604740004471
kr_treasury_5y,2309,0.5363038591162377,0.542686109181187,-0.006382250064949302
us_treasury_2y,2339,0.5350121963736693,0.5438970653277438,-0.008884868954074587
