vars,dir_acc
kospi+kr_cd_91d+kr_corp_aa3y+kr_ppi+kr_treasury_1y+kr_treasury_3y+spread_10y_t1+us_breakeven_10y+us_cpi+us_fed_funds+us_treasury_10y+us_treasury_2y+wti_oil,0.4942728957865629
delta_us10y_t1+dxy+kr_base_rate+kr_cd_91d+kr_mfg_bsi_outlook+kr_treasury_1y+kr_treasury_3y+krw_usd+sp500+spread_10y_t1+us_credit_spread+us_fed_funds+us_treasury_2y,0.5781321655966508
crisis_dummy+delta_vix_t1+kospi+kr_cpi+kr_ppi+kr_treasury_5y+krw_usd+us_breakeven_10y+us_credit_spread+us_fed_funds+us_treasury_10y+vix+wti_oil,0.514781348033038
delta_dxy_t1+kospi+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_3y+sp500+us_breakeven_10y+us_cpi+us_credit_spread+us_fed_funds,0.47791330421637773
delta_vix_t1+dxy+kr_base_rate+kr_cpi+kr_industrial_prod+kr_treasury_3y+sp500+spread_10y_t1+us_breakeven_10y+us_credit_spread+us_fed_funds+us_treasury_10y+wti_oil,0.4977652758832341
delta_dxy_t1+delta_us10y_t1+dxy+kospi+kr_base_rate+kr_cpi+kr_ppi+kr_treasury_3y+sp500+spread_10y_t1+us_cpi+us_credit_spread+us_treasury_10y,0.5956011837024867
crisis_dummy+delta_dxy_t1+delta_us10y_t1+dxy+kospi+kr_cd_91d+kr_cpi+kr_treasury_1y+kr_treasury_3y+us_cpi+us_fed_funds+us_treasury_2y+vix,0.5763862546707653
delta_dxy_t1+delta_us10y_t1+delta_vix_t1+kospi+kr_cd_91d+kr_corp_aa3y+kr_cpi+krw_usd+us_breakeven_10y+us_cpi+us_credit_spread+us_treasury_2y+vix,0.5769091208005678
delta_dxy_t1+kospi+kr_cd_91d+kr_cpi+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_1y+kr_treasury_5y+krw_usd+us_fed_funds+us_treasury_10y+us_treasury_2y+wti_oil,0.5206602250787614
dxy+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_1y+sp500+us_cpi+us_fed_funds+us_treasury_2y+vix+wti_oil,0.4847658790608822
crisis_dummy+delta_us10y_t1+delta_vix_t1+kr_corp_aa3y+kr_cpi+kr_industrial_prod+kr_ppi+kr_treasury_3y+spread_10y_t1+us_breakeven_10y+us_treasury_2y+vix+wti_oil,0.5830696323985244
crisis_dummy+delta_dxy_t1+kospi+kr_cd_91d+kr_cpi+kr_mfg_bsi_outlook+kr_treasury_1y+kr_treasury_3y+kr_treasury_5y+sp500+spread_10y_t1+us_breakeven_10y+vix,0.5182782203936457
delta_dxy_t1+kospi+kr_cd_91d+kr_cpi_core+kr_mfg_bsi_outlook+kr_treasury_1y+kr_treasury_3y+kr_treasury_5y+sp500+spread_10y_t1+us_breakeven_10y+us_cpi+wti_oil,0.5135327235935361
crisis_dummy+delta_dxy_t1+kr_base_rate+kr_cpi_core+kr_treasury_1y+kr_treasury_3y+kr_treasury_5y+krw_usd+us_cpi+us_credit_spread+us_fed_funds+us_treasury_10y+vix,0.4875865164021424
crisis_dummy+delta_dxy_t1+delta_us10y_t1+dxy+kospi+kr_cd_91d+kr_cpi+kr_cpi_core+kr_industrial_prod+kr_treasury_1y+us_cpi+us_treasury_10y+us_treasury_2y,0.5656407381449019
delta_dxy_t1+delta_vix_t1+kospi+kr_corp_aa3y+kr_cpi_core+kr_industrial_prod+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_1y+us_credit_spread+us_fed_funds+us_treasury_2y+vix,0.5133032450496935
crisis_dummy+delta_dxy_t1+delta_vix_t1+kr_base_rate+kr_cpi+kr_industrial_prod+kr_treasury_5y+krw_usd+us_cpi+us_credit_spread+us_treasury_10y+vix+wti_oil,0.5213049979386807
crisis_dummy+delta_dxy_t1+delta_vix_t1+kospi+kr_base_rate+kr_cd_91d+kr_cpi+kr_cpi_core+kr_industrial_prod+us_cpi+us_credit_spread+us_treasury_2y+wti_oil,0.5198998299567117
crisis_dummy+kospi+kr_mfg_bsi_outlook+kr_treasury_1y+kr_treasury_3y+kr_treasury_5y+krw_usd+sp500+spread_10y_t1+us_breakeven_10y+us_fed_funds+us_treasury_10y+vix,0.5174238248182305
delta_us10y_t1+kr_base_rate+kr_cpi+kr_cpi_core+kr_industrial_prod+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_5y+krw_usd+spread_10y_t1+us_breakeven_10y+us_credit_spread+us_treasury_10y,0.6036047408389918
crisis_dummy+delta_dxy_t1+delta_us10y_t1+dxy+kr_cd_91d+kr_corp_aa3y+kr_cpi+kr_industrial_prod+kr_treasury_1y+kr_treasury_5y+us_breakeven_10y+us_cpi+us_treasury_2y,0.5572674833231314
delta_us10y_t1+delta_vix_t1+kr_cpi_core+kr_mfg_bsi_outlook+kr_treasury_3y+kr_treasury_5y+krw_usd+sp500+us_cpi+us_credit_spread+us_fed_funds+us_treasury_2y+vix,0.6063326743252284
