split,pinball_q05,pinball_q50,pinball_q95,coverage_90,sharpness_bp,rmse_q50_bp,mae_q50_bp,dir_acc_q50,fold,stage,model,cqr_Q_hat,n_cal
test,0.4076399303186795,1.3405978737043351,0.4002867587005041,0.8776371308016878,10.273653984069824,3.743137268226154,2.6811957474086703,0.5932203389830508,fold1,raw,"XGB(q,v2)",1.2793402671813903,119.0
test,0.4248826736136328,1.3405978737043351,0.39162688828721876,0.9324894514767933,12.832335472106934,3.743137268226154,2.6811957474086703,0.5932203389830508,fold1,CQR,"XGB(q,v2)",1.2793402671813903,119.0
test,0.6035633853229424,1.9878453426477047,0.7648460874315034,0.788135593220339,11.610077857971191,5.503204390380243,3.9756906852954095,0.5948827292110874,fold2,raw,"XGB(q,v2)",-1.1704309463501055,118.0
test,0.6836919315336112,1.9878453426477047,0.8670627945004884,0.701271186440678,9.269214630126953,5.503204390380243,3.9756906852954095,0.5948827292110874,fold2,CQR,"XGB(q,v2)",-1.1704309463501055,118.0
test,0.4752711198741458,1.6555940561442226,0.5056509789386593,0.8530670470756063,11.551472663879395,4.438542875987924,3.3111881122884452,0.6416184971098265,fold3,raw,"XGB(q,v2)",6.630684280395464,120.0
test,0.6468406857097371,1.6555940561442226,0.6550183638084297,0.9843081312410842,24.81283950805664,4.438542875987924,3.3111881122884452,0.6416184971098265,fold3,CQR,"XGB(q,v2)",6.630684280395464,120.0
pooled,0.6218688695126391,1.7138695965636481,0.6817284287645465,0.8808510638297873,17.595842361450195,4.720968155901268,3.4277391931272962,0.6177523264137438,POOLED,CQR,"XGB(q,v2)",,
