method,coverage,sharpness_bp,interval_score,excl0_rate
raw,0.8297872340425532,11.342996355409714,22.947018721619784,0.009929078014184398
sym,0.8723404255319149,17.813051727688904,27.37270314858315,0.024113475177304965
asym,0.8106382978723404,13.94934145613765,27.109466966373695,0.03404255319148936
local,0.8382978723404255,14.020350603482903,26.196403237451282,0.04184397163120567
